model,loss,learning_rate,optimizer,num_filters,kernel_sizes,hidden_size,num_layers,num_heads,ffn_dim,train_loss,train_accuracy,validate_loss,validate_accuracy,test_loss,test_accuracy
cnn,cross_entropy_ls,0.001,adam,64,"[2, 3, 4]",-,-,-,-,0.9609226136919132,0.8087071240105541,1.3977381551391495,0.42145369284876905,1.4096539226605764,0.4312481112118465
rnn,cross_entropy,0.0005,adam,-,-,128,2,-,-,0.6987342700095723,0.7308707124010554,1.5564603096994398,0.42028135990621335,1.533809411017763,0.4285282562707767
transformer,cross_entropy,0.001,rmsprop,-,-,-,1,4,256,0.8340709926060867,0.6574318381706244,1.5740337159401647,0.42028135990621335,1.5927634037452436,0.4245995769114536
rnn,cross_entropy,0.0005,rmsprop,-,-,128,1,-,-,0.8841135728502512,0.6587510993843447,1.4075970477823077,0.4196951934349355,1.413203621494262,0.42973708068902994
rnn,cross_entropy,0.001,rmsprop,-,-,128,1,-,-,0.26324616867543243,0.9426854294928173,1.6980992014774265,0.4196951934349355,1.7207331230504235,0.4170444242973708
rnn,cross_entropy_ls,0.001,adam,-,-,256,1,-,-,0.8627636978717816,0.7757255936675461,1.5261073717618183,0.4191090269636577,1.5026244825378723,0.42550619522514355
cnn,cross_entropy_ls,0.0005,adam,128,"[2, 3, 4]",-,-,-,-,1.0716850425937734,0.7664907651715039,1.4101374727899836,0.41852286049237986,1.4160854075026317,0.4146267754608643
transformer,cross_entropy,0.001,rmsprop,-,-,-,1,4,512,1.0620434520811464,0.5644972148929932,1.5234675431167675,0.41852286049237986,1.4858981355795078,0.41160471441523117
rnn,cross_entropy,0.0005,adam,-,-,128,1,-,-,1.081567094634265,0.5747581354441513,1.3925105220128335,0.41735052754982416,1.382202471588702,0.419159867029314
transformer,cross_entropy_ls,0.001,adam,-,-,-,1,8,512,0.9858790515665083,0.6945177367340956,1.5859608813718502,0.41617819460726846,1.6189347756308852,0.41795104261106075
cnn,cross_entropy,0.0005,adam,128,"[2, 3, 4]",-,-,-,-,0.9339038329856971,0.7789504544121958,1.3693041425517127,0.4155920281359906,1.365696800082931,0.4167422181928075
rnn,cross_entropy,0.001,rmsprop,-,-,128,2,-,-,0.29538697014802784,0.9044268542949282,1.9016357259202534,0.4155920281359906,1.9278040969072783,0.4097914777878513
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,1,8,512,1.1627290751430095,0.5853122251539138,1.499235766993318,0.4155920281359906,1.502252900049239,0.4022363251737685
cnn,cross_entropy_ls,0.0005,rmsprop,128,"[2, 3, 4]",-,-,-,-,0.9583220327574988,0.8092934623277631,1.4129677085775842,0.41500586166471276,1.4042134315595054,0.42762163795708674
transformer,cross_entropy,0.0005,adam,-,-,-,2,8,256,1.0295860561168428,0.5847258868367048,1.5248989017739245,0.41500586166471276,1.4779598556929536,0.4155333937745542
rnn,cross_entropy_ls,0.0005,adam,-,-,128,1,-,-,1.185242628394177,0.5776898270301964,1.4288585321565026,0.4144196951934349,1.4114355940442678,0.4224841341795104
transformer,cross_entropy_ls,0.001,adam,-,-,-,2,4,256,0.9594878842843938,0.7055115801817649,1.641929900240926,0.4144196951934349,1.6468141224132848,0.41855545482018736
cnn,cross_entropy,0.0005,adam,128,"[3, 4, 5]",-,-,-,-,0.8182197103259921,0.78246848431545,1.3637633269165772,0.4144196951934349,1.3686032707722176,0.4182532487156241
transformer,cross_entropy,0.001,adam,-,-,-,1,4,512,0.8197877491649314,0.672530049838757,1.5865485283861687,0.4144196951934349,1.6015361085979916,0.41160471441523117
transformer,cross_entropy_ls,0.001,adam,-,-,-,2,8,256,0.9687461760413852,0.7091761946643214,1.6321304386693456,0.4144196951934349,1.635262574123522,0.409489271683288
transformer,cross_entropy,0.0005,adam,-,-,-,1,8,256,1.1140755701889848,0.5435356200527705,1.4430818764573663,0.4144196951934349,1.4416922606093245,0.40314294348745844
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,1,4,256,0.9981948584798702,0.6830841395485195,1.715662533345284,0.4138335287221571,1.6658543371008616,0.4146267754608643
cnn,cross_entropy_ls,0.0005,adam,128,"[3, 4, 5]",-,-,-,-,0.9593045218044696,0.8243916739958956,1.426605714723066,0.41324736225087927,1.4246934743113444,0.4155333937745542
cnn,cross_entropy_ls,0.0005,rmsprop,64,"[2, 3, 4]",-,-,-,-,1.122730315098557,0.761946643213134,1.4268935074700002,0.41324736225087927,1.4295301713335367,0.4113025083106679
cnn,cross_entropy,0.0005,adam,64,"[3, 4, 5]",-,-,-,-,1.0184568525479007,0.6625622984462035,1.3908452269340597,0.41324736225087927,1.3850844795518715,0.40042308854638864
rnn,cross_entropy,0.001,adam,-,-,256,1,-,-,0.13490396122085282,0.9720023453532688,2.14211819851105,0.4126611957796014,2.201371154024292,0.4113025083106679
rnn,cross_entropy_ls,0.0005,rmsprop,-,-,256,2,-,-,1.0363999638379895,0.6659337437701554,1.50787363983123,0.4114888628370457,1.4840913574369194,0.4173466304019341
